S_wing,alt_m,MN,E_case,CDS_m2,wave_m2,E_WD,E_geom,k,CLa,CD0
0.15,0.0,0.8,hi,0.004399367923352885,0.0,3.0,1.9757176638694371,0.14370182170072113,2.9017147294469035,0.029329119489019236
0.15,0.0,0.85,nom,0.004339302909215179,2.8834986686336715e-15,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.945792562271314,0.028928686061434526
0.15,0.0,0.85,lo,0.004339302909214339,2.0432565896996067e-15,1.4,1.9757176638694371,0.14370182170072113,2.945792562271314,0.028928686061428927
0.15,0.0,0.85,hi,0.004339302909216674,4.378406977927729e-15,3.0,1.9757176638694371,0.14370182170072113,2.945792562271314,0.028928686061444494
0.15,0.0,0.9,nom,0.0042819703715050676,5.165328957354779e-07,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.9951837232251326,0.028546469143367118
0.15,0.0,0.9,lo,0.004281819855509041,3.6601689970893393e-07,1.4,1.9757176638694371,0.14370182170072113,2.9951837232251326,0.02854546570339361
0.15,0.0,0.9,hi,0.00428223816053728,7.843219279477156e-07,3.0,1.9757176638694371,0.14370182170072113,2.9951837232251326,0.02854825440358187
0.15,0.0,0.95,nom,0.004234368672601127,8.122575832104368e-06,1.9757176638694371,1.9757176638694371,0.3277964191614849,3.0506739596425008,0.028229124484007516
0.15,0.0,0.95,lo,0.004232001780575926,5.755683806903289e-06,1.4,1.9757176638694371,0.3277964191614849,3.0506739596425008,0.02821334520383951
0.15,0.0,0.95,hi,0.004238579704926673,1.2333608157649908e-05,3.0,1.9757176638694371,0.3277964191614849,3.0506739596425008,0.028257198032844485
0.15,0.0,0.98,nom,0.004675736494720464,0.0004814383173121664,1.9757176638694371,1.9757176638694371,0.3239080871342772,3.087295562291554,0.03117157663146976
0.15,0.0,0.98,lo,0.004535446944037726,0.00034114876662942785,1.4,1.9757176638694371,0.3239080871342772,3.087295562291554,0.030236312960251508
0.15,0.0,0.98,hi,0.004925331248757072,0.000731033071348774,3.0,1.9757176638694371,0.3239080871342772,3.087295562291554,0.032835541658380485
